iter	Passed	Remaining
403	12586	18568
404	12608	18523
405	12637	18490
406	12662	18449
407	12692	18417
408	12725	18388
409	12759	18361
410	12783	18320
411	12805	18275
412	12826	18230
413	12856	18197
414	12879	18154
415	12908	18121
416	12935	18085
417	12959	18043
418	12984	18004
419	13006	17961
420	13033	17925
421	13055	17881
422	13086	17851
423	13107	17806
424	13130	17764
425	13168	17744
426	13189	17698
427	13218	17666
428	13239	17622
429	13281	17606
430	13302	17562
431	13322	17517
432	13351	17483
433	13377	17445
434	13403	17408
435	13446	17393
436	13468	17352
437	13500	17322
438	13525	17284
439	13549	17245
440	13580	17214
441	13603	17173
442	13636	17145
443	13663	17109
444	13691	17076
445	13715	17036
446	13741	16999
447	13766	16962
448	13796	16930
449	13831	16904
450	13857	16868
451	13879	16827
452	13908	16794
453	13930	16753
454	13960	16722
455	13992	16692
456	14020	16659
457	14042	16618
458	14068	16581
459	14095	16547
460	14120	16509
461	14143	16470
462	14177	16443
463	14206	16410
464	14234	16376
465	14257	16337
466	14277	16295
467	14304	16261
468	14326	16219
469	14358	16191
470	14381	16152
471	14406	16115
472	14434	16081
473	14459	16045
474	14487	16012
475	14507	15970
476	14548	15951
477	14570	15911
478	14603	15883
479	14630	15850
480	14652	15809
481	14673	15769
482	14703	15739
483	14738	15712
484	14772	15686
485	14801	15654
486	14830	15622
487	14853	15583
488	14880	15549
489	14908	15517
490	14931	15479
491	14954	15441
492	14985	15410
493	15017	15382
494	15044	15348
495	15077	15320
496	15099	15281
497	15125	15247
498	15151	15212
499	15177	15177
500	15197	15136
501	15219	15097
502	15259	15077
503	15291	15048
504	15314	15010
505	15344	14980
506	15365	14941
507	15390	14906
508	15415	14870
509	15447	14841
510	15466	14800
511	15488	14762
512	15521	14734
513	15546	14699
514	15570	14663
515	15593	14626
516	15627	14599
517	15651	14564
518	15676	14528
519	15701	14493
520	15721	14454
521	15742	14415
522	15769	14382
523	15803	14355
524	15830	14322
525	15851	14284
526	15874	14247
527	15902	14215
528	15924	14178
529	15954	14148
530	15987	14120
531	16014	14087
532	16040	14054
533	16067	14021
534	16096	13990
535	16117	13952
536	16152	13926
537	16182	13896
538	16216	13869
539	16242	13836
540	16264	13799
541	16292	13767
542	16316	13732
543	16349	13704
544	16377	13673
545	16410	13645
546	16436	13611
547	16461	13577
548	16488	13545
549	16515	13512
550	16544	13481
551	16577	13453
552	16608	13425
553	16632	13389
554	16657	13355
555	16684	13323
556	16709	13289
557	16739	13259
558	16764	13226
559	16786	13189
560	16808	13152
561	16837	13122
562	16864	13090
563	16890	13056
564	16916	13024
565	16939	12988
566	16966	12957
567	16988	12920
568	17016	12889
569	17036	12852
570	17070	12825
571	17100	12795
572	17122	12759
573	17150	12728
574	17171	12691
575	17197	12659
576	17222	12625
577	17255	12598
578	17286	12569
579	17312	12536
580	17336	12502
581	17367	12473
582	17396	12443
583	17434	12418
584	17464	12389
585	17495	12360
586	17518	12325
587	17548	12295
588	17569	12259
589	17612	12238
590	17636	12205
591	17663	12173
592	17694	12144
593	17719	12111
594	17757	12086
595	17795	12062
596	17830	12036
597	17854	12002
598	17879	11969
599	17908	11938
600	17930	11903
601	17962	11875
602	17994	11847
603	18025	11817
604	18048	11783
605	18077	11753
606	18102	11720
607	18124	11685
608	18157	11657
609	18179	11622
610	18207	11592
611	18236	11561
612	18256	11525
613	18284	11494
614	18305	11459
615	18339	11432
616	18366	11401
617	18389	11367
618	18419	11337
619	18445	11305
620	18471	11273
621	18510	11248
622	18536	11217
623	18565	11186
624	18584	11150
625	18614	11121
626	18635	11086
627	18667	11057
628	18700	11029
629	18730	11000
630	18751	10965
631	18778	10934
632	18802	10901
633	18828	10869
634	18850	10835
635	18885	10808
636	18916	10779
637	18944	10749
638	18966	10715
639	18996	10685
640	19021	10653
641	19048	10621
642	19082	10594
643	19108	10563
644	19130	10529
645	19157	10498
646	19208	10480
647	19247	10455
648	19282	10428
649	19306	10395
650	19345	10370
651	19379	10343
652	19405	10311
653	19439	10284
654	19464	10252
655	19490	10220
656	19523	10192
657	19545	10158
658	19573	10128
659	19608	10101
660	19629	10066
661	19655	10035
662	19675	10000
663	19707	9972
664	19736	9942
665	19770	9914
666	19795	9882
667	19819	9850
668	19841	9816
669	19868	9786
670	19889	9751
671	19910	9718
672	19939	9688
673	19975	9661
674	20004	9631
675	20026	9598
676	20056	9569
677	20082	9537
678	20110	9507
679	20140	9477
680	20171	9448
681	20197	9417
682	20237	9392
683	20273	9366
684	20315	9342
685	20338	9309
686	20365	9278
687	20395	9249
688	20417	9216
689	20444	9185
690	20467	9152
691	20499	9123
692	20534	9096
693	20561	9065
694	20583	9032
695	20613	9003
696	20638	8971
697	20677	8946
698	20699	8913
699	20725	8882
700	20747	8849
701	20778	8820
702	20801	8788
703	20830	8758
704	20864	8730
705	20891	8700
706	20912	8666
707	20939	8636
708	20961	8603
709	20982	8570
710	21008	8539
711	21042	8511
712	21073	8482
713	21095	8450
714	21120	8418
715	21146	8387
716	21172	8356
717	21195	8324
718	21225	8295
719	21253	8265
720	21276	8233
721	21307	8204
722	21331	8172
723	21353	8140
724	21391	8113
725	21421	8084
726	21442	8051
727	21474	8023
728	21499	7992
729	21521	7960
730	21552	7930
731	21588	7903
732	21617	7874
733	21640	7842
734	21671	7813
735	21697	7782
736	21720	7751
737	21754	7723
738	21785	7694
739	21816	7665
740	21838	7633
741	21866	7603
742	21888	7571
743	21916	7541
744	21947	7512
745	21970	7480
746	22001	7451
747	22028	7421
748	22050	7389
749	22070	7356
750	22098	7326
751	22129	7298
752	22151	7266
753	22178	7235
754	22207	7206
755	22229	7174
756	22259	7145
757	22282	7113
758	22314	7085
759	22345	7056
760	22365	7024
761	22394	6994
762	22417	6963
763	22442	6932
764	22466	6901
765	22497	6872
766	22528	6843
767	22548	6811
768	22573	6780
769	22594	6749
770	22622	6719
771	22645	6688
772	22677	6659
